#Second case with k = 0.4 and B = 20.0
#u              v              
-2.632359       2.570792       
-2.606652       2.617799       
-2.580474       2.660943       
-2.553864       2.700272       
-2.526861       2.735847       
-2.499503       2.767738       
-2.471826       2.796025       
-2.443865       2.820796       
-2.415657       2.842148       
-2.387236       2.860183       
-2.358634       2.875013       
-2.329884       2.886750       
-2.301016       2.895516       
-2.272061       2.901433       
-2.243047       2.904629       
-2.214001       2.905232       
-2.184948       2.903374       
-2.155915       2.899188       
-2.126923       2.892806       
-2.097995       2.884362       
-2.069151       2.873990       
-2.040411       2.861822       
-2.011793       2.847990       
-1.983313       2.832624       
-1.954987       2.815853       
-1.926828       2.797802       
-1.898850       2.778597       
-1.871064       2.758359       
-1.843481       2.737206       
-1.816109       2.715256       
-1.788956       2.692620       
-1.762030       2.669408       
-1.735336       2.645728       
-1.708878       2.621682       
-1.682662       2.597371       
-1.656688       2.572890       
-1.630959       2.548335       
-1.605476       2.523793       
-1.580238       2.499352       
-1.555244       2.475095       
-1.530493       2.451102       
-1.505982       2.427448       
-1.481708       2.404208       
-1.457666       2.381452       
-1.433851       2.359246       
-1.410259       2.337654       
-1.386882       2.316739       
-1.363715       2.296557       
-1.340749       2.277165       
-1.317978       2.258615       
-1.295391       2.240958       
-1.272982       2.224241       
-1.250739       2.208509       
-1.228654       2.193806       
-1.206716       2.180172       
-1.184915       2.167646       
-1.163238       2.156264       
-1.141675       2.146061       
-1.120215       2.137068       
-1.098844       2.129319       
-1.077551       2.122840       
-1.056323       2.117660       
-1.035146       2.113805       
-1.014008       2.111298       
-0.992895       2.110163       
-0.971793       2.110422       
-0.950689       2.112095       
-0.929568       2.115201       
-0.908416       2.119759       
-0.887219       2.125784       
-0.865961       2.133293       
-0.844628       2.142301       
-0.823205       2.152822       
-0.801677       2.164870       
-0.780028       2.178456       
-0.758243       2.193593       
-0.736307       2.210291       
-0.714204       2.228561       
-0.691919       2.248413       
-0.669435       2.269854       
-0.646736       2.292895       
-0.623807       2.317543       
-0.600632       2.343805       
-0.577194       2.371688       
-0.553477       2.401200       
-0.529465       2.432345       
-0.505141       2.465129       
-0.480490       2.499557       
-0.455495       2.535634       
-0.430138       2.573364       
-0.404405       2.612749       
-0.378277       2.653794       
-0.351739       2.696499       
-0.324774       2.740868       
-0.297365       2.786900       
-0.269496       2.834595       
-0.241151       2.883954       
-0.212311       2.934973       
-0.182961       2.987651       
-0.153085       3.041983       
-0.122665       3.097964       
-0.091685       3.155587       
-0.060129       3.214845       
-0.027981       3.275726       
0.004776        3.338218       
0.038158        3.402308       
0.072182        3.467979       
0.106861        3.535210       
0.142213        3.603980       
0.178253        3.674263       
